rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category
4222,23827,Millionen von Schwalben,3,6,120,120,120,2006,7.2792,5.68517,125,8,"Betting/Wagering, Dice Rolling",221,Sports
4223,226588,Untold: Adventures Await,1,4,60,45,60,2017,7.99275,5.68516,100,8,"Dice Rolling, Role Playing, Storytelling",440,Game System
4224,5281,Octiles,2,4,60,60,60,1984,6.40312,5.68513,298,8,Tile Placement,422,"Abstract Strategy, Maze, Racing"
4225,277,Res Publica,3,5,60,30,60,1991,5.94827,5.68501,885,10,"Set Collection, Trading",1608,"Card Game, Civilization"
4226,137872,EONS,2,5,90,90,90,2013,6.77389,5.68496,216,14,"Commodity Speculation, Deck / Pool Building, Hand Management",466,"Space Exploration, Territory Building"
4227,40491,Verflixxt! kompakt,2,4,20,20,20,2009,6.5247,5.68475,251,8,"Dice Rolling, Roll / Spin and Move",523,"Humor, Party Game"
4228,228766,A4 Quest,1,1,15,5,15,2017,7.38776,5.68474,170,8,"Area Movement, Dice Rolling",373,"Adventure, Fantasy, Print & Play"
4229,88871,"Roads to Moscow: Battles of Mozhaysk and Mtsensk, 1941",2,2,180,180,180,2013,7.48636,5.68474,121,12,"Chit-Pull System, Dice Rolling, Hex-and-Counter",646,"Wargame, World War II"
4230,149869,Sherlock 13,2,4,15,15,15,2013,6.49902,5.68472,266,6,none,409,"Card Game, Deduction"
4231,3711,Flight Leader,2,8,90,90,90,1986,6.165,5.68464,542,12,"Hex-and-Counter, Simulation, Variable Phase Order",1536,"Aviation / Flight, Modern Warfare, Wargame"
4232,203655,Timeline: Polska,2,8,15,15,15,2016,6.78059,5.68446,188,8,Tile Placement,276,"Card Game, Educational, Trivia"
4233,3595,Squint,3,8,30,30,30,2002,6.01669,5.68431,699,12,"Line Drawing, Tile Placement",1085,"Card Game, Party Game"
4234,76247,Eaten by Zombies!,2,4,30,30,30,2011,5.8977,5.68401,1098,8,"Card Drafting, Deck / Pool Building, Hand Management",2084,"Card Game, Horror, Zombies"
4235,217099,Seeders from Sereis: Exodus,2,4,120,120,120,2017,8.18423,5.68398,130,0,Deck / Pool Building,207,"Science Fiction, Space Exploration"
4236,2254,Title Bout,1,2,45,45,45,1979,6.6436,5.68393,253,12,"Area Movement, Simulation, Simultaneous Action Selection, Variable Player Powers",473,"Fighting, Sports"
4237,183797,Timeline: Star Wars,2,8,15,15,15,2015,6.17284,5.68385,429,8,none,900,"Card Game, Educational, Movies / TV / Radio theme, Trivia"
